orders_id,products_name,products_price,products_quantity
"152393","Fort Simon Fortress Hill Merlot unlabelled","45.0000","6"
"152393","Fort Simon Fortress Hill Shiraz unlabelled","45.0000","6"
"152394","Kloovenburg Barrel Fermented Chardonnay 2015","79.0000","18"
"152395","Fort Simon Fortress Hill Shiraz unlabelled","45.0000","12"
"152395","Raka Sauvignon Blanc 2016","45.0000","12"
"152395","Theuniskraal Ixia Shiraz 2013","40.0000","6"
"152395","Hoopenburg Bushvine Merlot 2015","49.0000","6"
"152396","Phizante Kraal Sauvignon Blanc 2016","49.0000","6"
"152396","Hermanuspietersfontein Nr.3 Sauvignon Blanc 2015","65.0000","6"
"152396","Thelema Sauvignon Blanc 2016","79.0000","6"
"152396","Clos Malverne Shiraz 2014","69.0000","6"
"152397","Warwick First Lady Cabernet Sauvignon","99.0000","6"
"152397","Rupert & Rothschild Classique 2014","169.0000","6"
"152401","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152401","Le Bonheur Cabernet Sauvignon 2014 unlabelled","79.0000","6"
"152402","Nitida Roxia Sauvignon Blanc 2016","39.0000","24"
"152403","Asara Vineyard Collection Shiraz 2012","69.0000","6"
"152403","Asara Vineyard Collection Sauvignon Blanc 2016","65.0000","6"
"152403","Clos Malverne Shiraz 2014","69.0000","6"
"152403","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152404","Le Bonheur Prima 2013 unlabelled","69.0000","18"
"152406","Clos Malverne Shiraz 2014","69.0000","6"
"152406","Thelema Mountain Red 2014","69.0000","6"
"152406","Ken Forrester Petit Pinotage 2015","49.0000","6"
"152411","Le Bonheur Tricorne 2012 unlabelled","119.0000","12"
"152412","Repairs to iPhone 6 1829","-1219.0000","1"
"152412","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152412","Asara Vineyard Collection Shiraz 2012","69.0000","6"
"152412","Klein Steenberg Bordeaux Red 2013","59.0000","6"
"152413","TOP SELLING RED Case","799.0000","1"
"152413","Personalised Label - Vines003","10.0000","12"
"152417","Personalised Mixed Case","2852.0000","1"
"152419","Asara Vineyard Collection Sauvignon Blanc 2016","65.0000","6"
"152419","Nitida Roxia Sauvignon Blanc 2016","39.0000","6"
"152420","Raka Spliced 2014","55.0000","6"
"152420","Paradyskloof Red Blend 2015","49.0000","6"
"152420","Simonsig Adelberg Cabernet Merlot 2013","45.0000","6"
"152420","Hoopenburg Bushvine Chenin Blanc 2016","35.0000","6"
"152421","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152421","Le Bonheur Cabernet Sauvignon 2014 unlabelled","79.0000","6"
"152422","Personalised Mixed Case","744.0000","1"
"152424","Ken Forrester Petit Pinotage 2015","49.0000","6"
"152424","Budget Red || 12 Assorted","525.0000","1"
"152426","Hemel en Aarde Ridge Private Bin Shiraz 2016","39.0000","6"
"152426","Totus Cabernet Sauvignon 2015","49.0000","6"
"152427","Budget Red || 12 Assorted","525.0000","1"
"152428","LOUIS COETZEE's CRAFT BEER Case","299.0000","1"
"152429","Samarie Smith se winter-wynkis: Versnit-wynklub","890.0000","1"
"152430","Riebeek Pieter Cruythoff Brut","65.0000","6"
"152430","Raka Spliced 2014","55.0000","12"
"152430","Raka Sauvignon Blanc 2016","45.0000","6"
"152433","La Couronne Dry Red Blend NV unlabelled","45.0000","6"
"152433","Theuniskraal Prestige Red Blend 2013","35.0000","6"
"152433","Hemel en Aarde Ridge Private Bin Shiraz 2016","39.0000","6"
"152434","Phizante Kraal Chenin Blanc 2016","45.0000","6"
"152434","Phizante Kraal Sauvignon Blanc 2016","49.0000","12"
"152434","Flagstone Treaty Tree Cabernet/Merlot/Malbec 2015","69.0000","6"
"152435","Theuniskraal Cape Riesling 2016","39.0000","12"
"152437","Raka Spliced 2014","55.0000","6"
"152437","Le Bonheur Prima 2013 unlabelled","69.0000","12"
"152438","Hacienda Malbec 2014","49.0000","6"
"152438","Raka Spliced 2014","55.0000","6"
"152439","Personalised Mixed Case","576.0000","1"
"152440","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152440","Alto Alto (Rouge)","95.0000","6"
"152440","Kanonkop Kadette Cape Blend","105.0000","6"
"152440","La Motte Millenium","99.0000","6"
"152440","Waverley Hills Shiraz Mourvedre Viognier","125.0000","6"
"152440","Raka Spliced 2014","55.0000","6"
"152441","Saronsberg Provenance Shiraz","105.0000","6"
"152441","Le Bonheur Cabernet Sauvignon 2014 unlabelled","79.0000","6"
"152445","Le Bonheur Tricorne 2012 unlabelled","119.0000","6"
"152445","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152446","Le Bonheur Cabernet Sauvignon 2014 unlabelled","79.0000","12"
"152448","Personalised Mixed Case","936.0000","1"
"152450","La Vierge Nymphomane Cab Sauv-Cab Franc-Malbec-Merlot","109.0000","6"
"152450","Raka Spliced 2014","55.0000","12"
"152450","Theuniskraal Cape Riesling 2016","39.0000","12"
"152451","Round House Shiraz 2015","35.0000","6"
"152451","Vondeling Baldrick Shiraz 2014","65.0000","12"
"152451","Snow Mountain The Mistress Pinot Noir 2017","59.0000","6"
"152451","Raka Sauvignon Blanc 2016","45.0000","6"
"152453","Hermanuspietersfontein Nr.3 Sauvignon Blanc 2015","65.0000","18"
"152453","Vrede en Lust Lady J Syrah 2013","89.0000","18"
"152454","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152454","Le Bonheur Cabernet Sauvignon 2014 unlabelled","79.0000","6"
"152456","Hoopenburg Bushvine Shiraz 2014","49.0000","6"
"152456","Hoopenburg Bushvine Merlot 2015","49.0000","6"
"152456","Cloof Dusty Road Merlot 2016","30.0000","6"
"152456","Cloof Dusty Road Pinotage 2015","30.0000","6"
"152456","Glen Carlou Tortoise Hill Red","45.0000","6"
"152456","Nitida Roxia Sauvignon Blanc 2016","39.0000","6"
"152456","Theuniskraal Semillon/Chardonnay 2015","40.0000","6"
"152457","Excelsior Merlot","69.0000","48"
"152457","10% Discount as arranged with Johan","-331.2000","1"
"152461","Flagstone Dragon Tree Cape Blend 2014","69.0000","24"
"152463","Groote Post Old Mans Blend Red 2016","65.0000","6"
"152463","Vondeling Cabernet Sauvignon 2014","79.0000","6"
"152463","Hemel en Aarde Ridge Private Bin Shiraz 2016","39.0000","6"
"152465","Budget Red || 12 Assorted","525.0000","1"
"152469","Personalised Mixed Case","666.0000","1"
"152469","Personalised Mixed Case","999.0000","1"
"152471","Ken Forrester Petit Chenin 2016","49.0000","12"
"152471","Kleine Zalze Cellar Selection Chenin Blanc","59.0000","6"
"152471","Cederberg Chenin Blanc 2016","75.0000","6"
"152471","Nitida Roxia Sauvignon Blanc 2016","39.0000","6"
"152471","Neil Ellis Sincerely Sauvignon Blanc","49.0000","12"
"152471","Kleine Zalze Cellar Selection Sauvignon Blanc","69.0000","12"
"152471","Waterford Pecan Stream Sauvignon Blanc 2016","69.0000","6"
"152471","Kleine Zalze Vineyard Selection Cabernet Sauvignon","139.0000","12"
"152471","Springfield Whole Berry Cabernet Sauvignon","155.0000","12"
"152471","La Vierge The Affair Pinot Noir 2016","109.0000","24"
"152473","Le Bonheur Cabernet Sauvignon 2014 unlabelled","59.0000","12"
"152473","Le Bonheur Prima 2013 unlabelled","69.0000","6"
"152474","Personalised Mixed Case","621.0000","1"
"152475","Cloof Dusty Road Merlot 2016","30.0000","12"
"152475","Theuniskraal Prestige Red Blend 2013","35.0000","12"
"152475","Round House Sauvignon Blanc 2017","35.0000","12"
"152476","Louisvale Stone Road Cabernet Sauvignon 2014","39.0000","6"
"152476","O'Connell's Sauvignon Blanc 2016","35.0000","12"
"152476","Round House Shiraz 2015","35.0000","18"
"152476","Theuniskraal Ixia Cabernet Sauvignon","40.0000","6"
"152477","Groote Post Chenin Blanc 2017","65.0000","6"
"152477","Clos Malverne Shiraz 2014","69.0000","6"
"152477","Cloof The Very Sexy Shiraz 2014","70.0000","6"
"152477","Secateurs Chenin Blanc by Adi Badenhorst 2016","79.0000","6"
"152478","Hemel en Aarde Ridge Private Bin Shiraz 2016","39.0000","6"
"152478","Fleur du Cap Shiraz, Grenache, Cinsault 2015","59.0000","6"
"152480","Knorhoek Chenin/Sauvignon Blanc 2017 unlabelled","30.0000","6"
"152480","Neil Ellis Sincerely Sauvignon Blanc","49.0000","6"
"152480","Ken Forrester Petit Chenin 2016","49.0000","6"
"152480","Hoopenburg Bushvine Merlot 2015","49.0000","6"
"152480","Theuniskraal Cape Riesling 2016","39.0000","6"
"152480","Cloof Dusty Road Merlot 2016","30.0000","6"
"152482","Moreson Miss Molly Bottle Fermented","105.0000","30"
"152483","Le Bonheur Cabernet Sauvignon 2014 unlabelled","59.0000","24"
"152484","Cloof Dusty Road Merlot 2016","30.0000","18"
"152484","Cloof Dusty Road Pinotage","30.0000","6"
"152485","Oude Werf Pinotage Rose 2017","30.0000","6"
"152485","Paradyskloof Grenaché Rosé 2016","39.0000","6"
"152485","Antebellum Saffronne Rose 2016","49.0000","6"
"152485","Leopards Leap Lookout Pinotage Rose","49.0000","6"
"152485","First Sighting Rose 2015","55.0000","6"
"152485","Vrede en Lust Jess Rose 2016","60.0000","6"
"152486","Hemel en Aarde Ridge Private Bin Shiraz 2016","39.0000","12"
"152486","Le Bonheur Cabernet Sauvignon 2014 unlabelled","59.0000","6"
"152488","Phizante Kraal Sauvignon Blanc 2016","49.0000","12"
